"section","segment","Amounts outstanding of lending in all currencies (NSA)"
"Agriculture, hunting and forestry",,"TBSC"
"Fishing",,"TBSD"
"Mining and quarrying",,"TBSE"
"Manufacturing","Food, beverages and tobacco","TBSG"
,"Textiles, wearing apparel and leather","TBSH"
,"Pulp, paper and printing","TBSI"
,"Chemicals, pharmaceuticals, rubber and plastics","TBSJ"
,"Non- metallic mineral products and metals","TBSK"
,"Machinery, equipment and transport equipment","TBSL"
,"Electrical, medical and optical equipment","TBSM"
,"Other manufacturing","TBSN"
,"Total","TBSF"
"Electricity , gas and water supply","Electricity, gas steam and air conditioning","TBSO"
,"Water collection and sewerage","TBSP"
,"Waste management related services and remediation activities","B3FA"
,"Total","B3FO"
"Construction","Development of buildings","B7EC"
,"Construction of commercial buildings","B3I7"
,"Construction of domestic buildings","B3LY"
,"Civil engineering","B4PL"
,"Other construction activities","B4PY"
,"Total","TBSQ"
"Wholesale and retail trade","Wholesale and retail trade and repair of motor vehicles and motorcycles","TBSS"
,"Wholesale trade, excluding motor vehicles and motor cycles","TBST"
,"Retail trade excluding motor vehicles and motor cycles","TBSU"
,"Total","TBSR"
"Accommodation and food service activities",,"TBSV"
"Transport, storage and communication","Transportation and storage","B5PL"
,"Information and communication","B5PS"
,"Total","TBSW"
"Real estate, professional services and support activities","Buying, selling and renting of real estate","TBSY"
,"Professional, scientific and technical activities","B6PE"
,"Administrative and support services","B6PP"
,"Total","TBSX"
"Public administration and defence",,"TBTD"
"Education",,"TBTE"
"Human health and social work",,"TBTF"
"Recreational, personal and community service activities","Recreational, cultural and sporting activities","TBTH"
,"Personal and community service activities","TBTG"
,"Total","B6H5"
"Financial intermediation (excluding insurance and pension funds)","Financial leasing corporations","TBTJ"
,"Non- bank credit grantors excluding credit unions and SPVs","TBTK"
,"Credit unions","TBTL"
,"Factoring corporations","TBTM"
,"Mortgage and housing credit corporations excluding SPVs","TBTN"
,"Investment and unit trusts excluding money market mutual funds","TBTO"
,"Money market mutual funds","TBTP"
,"Venture and development capital","ZO8Z"
,"Bank holding companies","TBTQ"
,"Securities dealers","TBTR"
,"SPVs related to securitisation","B6PZ"
,"Other financial intermediaries","TBTS"
,"of which intragroup activity","B3U9"
,"Total","TBTI"
"Insurance companies and pension funds","Insurance companies","B3V7"
,"Pension funds","B3W5"
,"Total","TBTT"
"Activities auxiliary to financial intermediation","Fund management activities","TBTU"
,"Other: Central clearing counterparties","B3X2"
,"Other: Other auxiliary activities","B8FE"
,"Other: Total","TBTV"
,"Total","B5H8"
"Total financial and non financial businesses",,"Z92T"
"Individuals and individual trusts","Lending secured on dwellings inc. bridging finance","TBTX"
,"Other loans and advances","TBTY"
,"Total","TBTW"
"Total UK residents",,"TBSA"
