"year","day","month","rate","description"
"1694","1","Oct",6,"bank rate"
"1695","1","Jan",4.5,"bank rate"
,"1","May",3,"bank rate"
"1699","1","Jun",4.5,"bank rate"
"1716","1","Jul",4,"bank rate"
"1719","1","Apr",5,"bank rate"
"1822","1","Jun",4,"bank rate"
"1825","1","Dec",5,"bank rate"
"1827","1","Jul",4,"bank rate"
"1836","1","Jul",4.5,"bank rate"
,"1","Sep",5,"bank rate"
"1838","1","Feb",4,"bank rate"
"1839","1","May",5,"bank rate"
,"1","Jun",5.5,"bank rate"
,"1","Aug",6,"bank rate"
"1840","1","Jan",5,"bank rate"
"1842","1","Apr",4,"bank rate"
"1844","7","Sep",2.5,"bank rate"
"1845","16","Oct",3,"bank rate"
,"6","Nov",3.5,"bank rate"
"1846","27","Aug",3,"bank rate"
"1847","14","Jan",3.5,"bank rate"
,"21","Jan",4,"bank rate"
,"8","Apr",5,"bank rate"
,"5","Aug",5.5,"bank rate"
,"30","Sep",6,"bank rate"
,"25","Oct",8,"bank rate"
,"22","Nov",7,"bank rate"
,"2","Dec",6,"bank rate"
,"23","Dec",5,"bank rate"
"1848","27","Jan",4,"bank rate"
,"15","Jun",3.5,"bank rate"
,"2","Nov",3,"bank rate"
"1849","22","Nov",2.5,"bank rate"
"1850","26","Dec",3,"bank rate"
"1852","1","Jan",2.5,"bank rate"
,"22","Apr",2,"bank rate"
"1853","6","Jan",2.5,"bank rate"
,"20","Jan",3,"bank rate"
,"2","Jun",3.5,"bank rate"
,"1","Sep",4,"bank rate"
,"15","Sep",4.5,"bank rate"
,"29","Sep",5,"bank rate"
"1854","11","May",5.5,"bank rate"
,"3","Aug",5,"bank rate"
"1855","5","Apr",4.5,"bank rate"
,"3","May",4,"bank rate"
,"14 ","Jun",3.5,"bank rate"
,"6","Sep",4,"bank rate"
,"13","Sep",4.5,"bank rate"
,"27","Sep",5,"bank rate"
,"4","Oct",5.5,"bank rate"
,"18","Oct",7,"bank rate"
"1856","22","May",6,"bank rate"
,"29","May",5,"bank rate"
,"26","Jun",4.5,"bank rate"
,"2","Oct",5,"bank rate"
,"29","Oct",7,"bank rate"
,"15","Nov",7,"bank rate"
,"4","Dec",6.5,"bank rate"
,"18","Dec",6,"bank rate"
"1857","2","Apr",6.5,"bank rate"
,"18","Jun",6,"bank rate"
,"16","Jul",5.5,"bank rate"
,"8","Oct",6,"bank rate"
,"15","Oct",7,"bank rate"
,"19","Oct",8,"bank rate"
,"5","Nov",9,"bank rate"
,"12","Nov",10,"bank rate"
,"24","Dec",8,"bank rate"
"1858","7","Jan",6,"bank rate"
,"11","Jan",5,"bank rate"
,"28","Jan",4,"bank rate"
,"4","Feb",3.5,"bank rate"
,"11","Feb",3,"bank rate"
,"9","Dec",2.5,"bank rate"
"1859","28","Apr",3.5,"bank rate"
,"5","May",4.5,"bank rate"
,"2","Jun",3.5,"bank rate"
,"9","Jun",3,"bank rate"
,"14","Jun",2.5,"bank rate"
"1860","19","Jan",3,"bank rate"
,"31","Jan",4,"bank rate"
,"29","Mar",4.5,"bank rate"
,"12","Apr",5,"bank rate"
,"10","May",4.5,"bank rate"
,"24","May",4,"bank rate"
,"8","Nov",4.5,"bank rate"
,"13","Nov",5,"bank rate"
,"15","Nov",6,"bank rate"
,"29","Nov",5,"bank rate"
,"31","Dec",6,"bank rate"
"1861","7","Jan",7,"bank rate"
,"14","Feb",8,"bank rate"
,"21","Mar",7,"bank rate"
,"4","Apr",6,"bank rate"
,"11","Apr",5,"bank rate"
,"16","May",6,"bank rate"
,"1","Aug",5,"bank rate"
,"15","Aug",4.5,"bank rate"
,"29","Aug",4,"bank rate"
,"19","Sep",3.5,"bank rate"
,"7","Nov",3,"bank rate"
1862,"9","Jan",2.5,"bank rate"
,"22","May",3,"bank rate"
,"10","Jul",2.5,"bank rate"
,"24","Jul",2,"bank rate"
,"30","Oct",3,"bank rate"
1863,"15","Jan",4,"bank rate"
,"28","Jan",5,"bank rate"
,"19","Feb",4,"bank rate"
,"23","Apr",3.5,"bank rate"
,"30","Apr",3,"bank rate"
,"16","May",3.5,"bank rate"
,"21","May",4,"bank rate"
,"2","Nov",5,"bank rate"
,"5","Nov",6,"bank rate"
,"2 ","Dec",7,"bank rate"
,"3 ","Dec",8,"bank rate"
,"24 ","Dec",7,"bank rate"
1864,"20 ","Jan",8,"bank rate"
,"11 ","Feb",7,"bank rate"
,"25 ","Feb",6,"bank rate"
,"16 ","Apr",7,"bank rate"
,"2 ","May",8,"bank rate"
,"5 ","May",9,"bank rate"
,"19 ","May",8,"bank rate"
,"26 ","May",7,"bank rate"
,"16 ","Jun",6,"bank rate"
,"25 ","Jul",7,"bank rate"
,"4 ","Aug",8,"bank rate"
,"8 ","Sep",9,"bank rate"
,"10 ","Nov",8,"bank rate"
,"24 ","Nov",7,"bank rate"
,"15 ","Dec",6,"bank rate"
"1865 ","12 ","Jan",5.5,"bank rate"
,"26 ","Jan",5,"bank rate"
,"2 ","Mar",4.5,"bank rate"
,"30 ","Mar",4,"bank rate"
,"4 ","May",4.5,"bank rate"
,"25 ","May",4,"bank rate"
,"1 ","Jun",3.5,"bank rate"
,"15 ","Jun",3,"bank rate"
,"27 ","Jul",3.5,"bank rate"
,"3 ","Aug",4,"bank rate"
,"28 ","Sep",4.5,"bank rate"
,"2 ","Oct",5,"bank rate"
,"5 ","Oct",6,"bank rate"
,"7 ","Oct",7,"bank rate"
,"23 ","Nov",6,"bank rate"
,"28 ","Dec",7,"bank rate"
"1866 ","4 ","Jan",8,"bank rate"
,"22 ","Feb",7,"bank rate"
,"15 ","Mar",6,"bank rate"
,"3 ","May",7,"bank rate"
,"8 ","May",8,"bank rate"
,"11 ","May",9,"bank rate"
,"12 ","May",10,"bank rate"
,"16 ","Aug",8,"bank rate"
,"23 ","Aug",7,"bank rate"
,"30 ","Aug",6,"bank rate"
,"6 ","Sep",5,"bank rate"
,"27 ","Sep",4.5,"bank rate"
,"8 ","Nov",4,"bank rate"
,"20 ","Dec",3.5,"bank rate"
"1867 ","7 ","Feb",3,"bank rate"
,"30 ","May",2.5,"bank rate"
,"25 ","Jul",2,"bank rate"
"1868 ","19 ","Nov",2.5,"bank rate"
,"3 ","Dec",3,"bank rate"
"1869 ","1 ","Apr",4,"bank rate"
,"6 ","May",4.5,"bank rate"
,"10 ","Jun",4,"bank rate"
,"24 ","Jun",3.5,"bank rate"
,"15 ","Jul",3,"bank rate"
,"19 ","Aug",2.5,"bank rate"
,"4 ","Nov",3,"bank rate"
"1870 ","21 ","Jul",3.5,"bank rate"
,"23 ","Jul",4,"bank rate"
,"28 ","Jul",5,"bank rate"
,"4 ","Aug",6,"bank rate"
,"11 ","Aug",5.5,"bank rate"
,"18 ","Aug",4.5,"bank rate"
,"25 ","Aug",4,"bank rate"
,"1 ","Sep",3.5,"bank rate"
,"15 ","Sep",3,"bank rate"
,"29 ","Sep",2.5,"bank rate"
"1871 ","2 ","Mar",3,"bank rate"
,"13 ","Apr",2.5,"bank rate"
,"15 ","Jun",2.25,"bank rate"
,"13 ","Jul",2,"bank rate"
,"21 ","Sep",3,"bank rate"
,"28 ","Sep",4,"bank rate"
,"7 ","Oct",5,"bank rate"
,"16 ","Nov",4,"bank rate"
,"30 ","Nov",3.5,"bank rate"
